Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines,SG,23,OKC,68,6,1055,134,341,.393,94,247,.381,40,94,.426,.531,44,49,.898,18,68,86,40,37,8,33,114,406
2,Quincy Acy,PF,26,TOT,38,1,558,70,170,.412,37,90,.411,33,80,.413,.521,45,60,.750,20,95,115,18,14,15,21,67,222
2,Quincy Acy,PF,26,DAL,6,0,48,5,17,.294,1,7,.143,4,10,.400,.324,2,3,.667,2,6,8,0,0,0,2,9,13
2,Quincy Acy,PF,26,BRK,32,1,510,65,153,.425,36,83,.434,29,70,.414,.542,43,57,.754,18,89,107,18,14,15,19,58,209
3,Steven Adams,C,23,OKC,80,80,2389,374,655,.571,0,1,.000,374,654,.572,.571,157,257,.611,281,332,613,86,89,78,146,195,905
4,Arron Afflalo,SG,31,SAC,61,45,1580,185,420,.440,62,151,.411,123,269,.457,.514,83,93,.892,9,116,125,78,21,6,42,104,515
5,Alexis Ajinca,C,28,NOP,39,15,584,89,178,.500,0,4,.000,89,174,.511,.500,29,40,.725,46,131,177,12,20,22,31,77,207
6,Cole Aldrich,C,28,MIN,62,0,531,45,86,.523,0,0,,45,86,.523,.523,15,22,.682,51,107,158,25,25,23,17,85,105
7,LaMarcus Aldridge,PF,31,SAS,72,72,2335,500,1049,.477,23,56,.411,477,993,.480,.488,220,271,.812,172,351,523,139,46,88,98,158,1243
8,Lavoy Allen,PF,27,IND,61,5,871,77,168,.458,0,1,.000,77,167,.461,.458,23,33,.697,105,114,219,57,18,24,29,78,177
9,Tony Allen,SG,35,MEM,71,66,1914,274,595,.461,15,54,.278,259,541,.479,.473,80,130,.615,166,225,391,98,115,29,100,178,643
10,Al-Farouq Aminu,SF,26,POR,61,25,1773,183,466,.393,70,212,.330,113,254,.445,.468,96,136,.706,77,374,451,99,60,44,94,102,532
11,Chris Andersen,C,38,CLE,12,0,114,9,22,.409,0,3,.000,9,19,.474,.409,10,14,.714,9,22,31,5,5,7,5,20,28
12,Alan Anderson,SF,34,LAC,30,0,308,30,80,.375,14,44,.318,16,36,.444,.463,12,16,.750,3,21,24,11,3,0,7,35,86
13,Justin Anderson,SF,23,TOT,75,10,1228,186,439,.424,58,194,.299,128,245,.522,.490,102,129,.791,69,176,245,66,41,23,66,109,532
13,Justin Anderson,SF,23,DAL,51,2,710,111,277,.401,37,122,.303,74,155,.477,.468,70,88,.795,39,110,149,32,28,16,40,64,329
13,Justin Anderson,SF,23,PHI,24,8,518,75,162,.463,21,72,.292,54,90,.600,.528,32,41,.780,30,66,96,34,13,7,26,45,203
14,Kyle Anderson,SG,23,SAS,72,14,1020,93,209,.445,15,40,.375,78,169,.462,.481,45,57,.789,33,175,208,91,51,26,39,63,246
15,Ryan Anderson,PF,28,HOU,72,72,2116,323,773,.418,204,506,.403,119,267,.446,.550,129,150,.860,112,218,330,68,31,14,55,142,979
16,Giannis Antetokounmpo,SF,22,MIL,80,80,2845,656,1259,.521,49,180,.272,607,1079,.563,.541,471,612,.770,142,558,700,434,131,151,234,246,1832
17,Carmelo Anthony,SF,32,NYK,74,74,2538,602,1389,.433,151,421,.359,451,968,.466,.488,304,365,.833,62,376,438,213,60,34,153,198,1659
18,Joel Anthony,C,34,SAS,19,0,122,10,16,.625,0,0,,10,16,.625,.625,5,8,.625,8,23,31,3,2,6,4,11,25
19,Trevor Ariza,SF,31,HOU,80,80,2773,326,798,.409,191,555,.344,135,243,.556,.528,93,126,.738,54,404,458,175,147,20,73,133,936
20,Darrell Arthur,PF,28,DEN,41,7,639,95,215,.442,53,117,.453,42,98,.429,.565,19,22,.864,25,87,112,42,19,21,36,76,262
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Omer Asik,C,30,NOP,31,19,482,31,65,.477,0,0,,31,65,.477,.477,23,39,.590,48,115,163,15,5,10,14,51,85
22,D.J. Augustin,PG,29,ORL,78,20,1538,195,517,.377,95,274,.347,100,243,.412,.469,131,161,.814,15,102,117,209,31,1,90,101,616
23,Luke Babbitt,SF,27,MIA,68,55,1065,113,281,.402,87,210,.414,26,71,.366,.557,11,15,.733,12,129,141,36,20,11,25,118,324
24,Ron Baker,SG,23,NYK,52,13,857,82,217,.378,23,86,.267,59,131,.450,.431,28,43,.651,12,86,98,107,34,8,56,74,215
25,Wade Baldwin,PG,20,MEM,33,1,405,36,115,.313,3,22,.136,33,93,.355,.326,31,37,.838,11,35,46,61,18,7,39,40,106
26,Leandro Barbosa,SG,34,PHO,67,0,963,172,392,.439,35,98,.357,137,294,.466,.483,40,45,.889,15,89,104,81,31,8,48,82,419
27,J.J. Barea,PG,32,DAL,35,6,771,142,343,.414,53,148,.358,89,195,.456,.491,44,51,.863,9,75,84,193,14,1,63,30,381
28,Harrison Barnes,PF,24,DAL,79,79,2803,599,1280,.468,78,222,.351,521,1058,.492,.498,242,281,.861,93,301,394,116,65,15,102,128,1518
29,Matt Barnes,SF,36,TOT,74,18,1777,185,473,.391,87,263,.331,98,210,.467,.483,70,89,.787,70,314,384,195,48,26,107,185,527
29,Matt Barnes,SF,36,SAC,54,13,1367,147,383,.384,69,211,.327,78,172,.453,.474,50,66,.758,55,238,293,150,36,17,83,138,413
29,Matt Barnes,SF,36,GSW,20,5,410,38,90,.422,18,52,.346,20,38,.526,.522,20,23,.870,15,76,91,45,12,9,24,47,114
30,Will Barton,SG,26,DEN,60,19,1705,295,666,.443,87,235,.370,208,431,.483,.508,143,190,.753,58,201,259,206,48,28,97,110,820
31,Brandon Bass,PF,31,LAC,52,0,577,107,186,.575,1,3,.333,106,183,.579,.578,77,88,.875,43,86,129,21,14,11,29,45,292
32,Nicolas Batum,SG,28,CHO,77,77,2617,393,975,.403,135,405,.333,258,570,.453,.472,243,284,.856,46,435,481,456,86,29,194,109,1164
33,Jerryd Bayless,PG,28,PHI,3,1,71,11,32,.344,2,5,.400,9,27,.333,.375,9,10,.900,3,9,12,13,0,0,9,4,33
34,Aron Baynes,C,30,DET,75,2,1163,143,279,.513,0,0,,143,279,.513,.513,79,94,.840,111,222,333,32,17,39,50,166,365
35,Kent Bazemore,SF,27,ATL,73,64,1963,295,721,.409,92,266,.346,203,455,.446,.473,119,168,.708,45,186,231,177,91,52,125,165,801
36,Bradley Beal,SG,23,WAS,77,77,2684,637,1322,.482,223,552,.404,414,770,.538,.566,282,342,.825,53,187,240,267,83,21,156,169,1779
37,Malik Beasley,SG,20,DEN,22,1,165,33,73,.452,9,28,.321,24,45,.533,.514,8,10,.800,5,12,17,11,7,0,8,10,83
38,Michael Beasley,PF,28,MIL,56,6,935,216,406,.532,18,43,.419,198,363,.545,.554,78,105,.743,40,153,193,53,27,27,66,92,528
39,Marco Belinelli,SG,30,CHO,74,0,1778,264,615,.429,102,283,.360,162,332,.488,.512,150,168,.893,14,164,178,147,44,9,70,90,780
40,DeAndre' Bembry,SF,22,ATL,38,1,371,47,98,.480,1,18,.056,46,80,.575,.485,6,16,.375,14,45,59,28,8,5,16,21,101
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Dragan Bender,PF,19,PHO,43,0,574,57,161,.354,28,101,.277,29,60,.483,.441,4,11,.364,23,80,103,23,10,22,32,74,146
42,Anthony Bennett,PF,23,BRK,23,1,264,38,92,.413,13,48,.271,25,44,.568,.484,26,36,.722,25,53,78,12,5,3,12,18,115
43,Ben Bentil,PF,21,DAL,3,0,10,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,0,0,0,1,1,0
44,Davis Bertans,PF,24,SAS,67,6,808,103,234,.440,69,173,.399,34,61,.557,.588,28,34,.824,22,76,98,46,20,28,32,75,303
45,Patrick Beverley,SG,28,HOU,67,67,2058,228,543,.420,110,288,.382,118,255,.463,.521,73,95,.768,95,298,393,281,99,25,100,222,639
46,Bismack Biyombo,C,24,ORL,81,27,1793,179,339,.528,0,0,,179,339,.528,.528,125,234,.534,157,410,567,74,25,91,95,202,483
47,Nemanja Bjelica,PF,28,MIN,65,1,1190,151,356,.424,56,177,.316,95,179,.531,.503,45,61,.738,57,187,244,79,40,20,59,154,403
48,Tarik Black,C,25,LAL,67,16,1091,150,294,.510,1,2,.500,149,292,.510,.512,82,109,.752,144,199,343,39,29,44,58,173,383
49,Eric Bledsoe,PG,27,PHO,66,66,2176,449,1034,.434,104,310,.335,345,724,.477,.485,388,458,.847,52,268,320,418,91,31,224,164,1390
50,Bojan Bogdanovic,SF,27,TOT,81,54,2083,376,845,.445,144,392,.367,232,453,.512,.530,217,243,.893,37,240,277,111,34,7,131,146,1113
50,Bojan Bogdanovic,SF,27,BRK,55,54,1482,269,611,.440,99,277,.357,170,334,.509,.521,146,167,.874,23,174,197,90,24,3,93,99,783
50,Bojan Bogdanovic,SF,27,WAS,26,0,601,107,234,.457,45,115,.391,62,119,.521,.553,71,76,.934,14,66,80,21,10,4,38,47,330
51,Andrew Bogut,C,32,TOT,27,21,583,38,81,.469,0,1,.000,38,80,.475,.469,3,11,.273,56,162,218,49,13,25,43,86,79
51,Andrew Bogut,C,32,DAL,26,21,582,38,81,.469,0,1,.000,38,80,.475,.469,3,11,.273,56,162,218,49,13,25,43,84,79
51,Andrew Bogut,C,32,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
52,Joel Bolomboy,PF,23,UTA,12,0,53,9,16,.563,1,4,.250,8,12,.667,.594,3,6,.500,4,13,17,2,1,2,2,1,22
53,Devin Booker,SG,20,PHO,78,78,2730,606,1431,.423,147,405,.363,459,1026,.447,.475,367,441,.832,46,203,249,268,72,21,241,242,1726
54,Trevor Booker,PF,29,BRK,71,43,1754,305,591,.516,25,78,.321,280,513,.546,.537,74,110,.673,143,428,571,138,75,28,127,152,709
55,Avery Bradley,SG,26,BOS,55,55,1835,359,775,.463,108,277,.390,251,498,.504,.533,68,93,.731,65,269,334,122,68,11,88,141,894
56,Corey Brewer,SF,30,TOT,82,11,1281,147,348,.422,27,118,.229,120,230,.522,.461,50,68,.735,32,134,166,97,61,20,55,133,371
56,Corey Brewer,SF,30,HOU,58,8,923,94,227,.414,22,94,.234,72,133,.541,.463,32,44,.727,21,93,114,61,37,12,36,104,242
56,Corey Brewer,SF,30,LAL,24,3,358,53,121,.438,5,24,.208,48,97,.495,.459,18,24,.750,11,41,52,36,24,8,19,29,129
57,Malcolm Brogdon,SG,24,MIL,75,28,1982,290,635,.457,78,193,.404,212,442,.480,.518,109,126,.865,47,166,213,317,84,12,113,140,767
58,Aaron Brooks,PG,32,IND,65,0,894,121,300,.403,48,128,.375,73,172,.424,.483,32,40,.800,18,51,69,125,25,9,66,93,322
59,Anthony Brown,SF,24,TOT,11,0,159,18,50,.360,7,27,.259,11,23,.478,.430,0,0,,8,25,33,8,5,1,6,15,43
59,Anthony Brown,SF,24,NOP,9,0,143,14,41,.341,6,24,.250,8,17,.471,.415,0,0,,6,20,26,6,5,1,5,13,34
59,Anthony Brown,SF,24,ORL,2,0,16,4,9,.444,1,3,.333,3,6,.500,.500,0,0,,2,5,7,2,0,0,1,2,9
60,Bobby Brown,PG,32,HOU,25,0,123,23,60,.383,14,35,.400,9,25,.360,.500,2,2,1.000,0,6,6,14,1,0,5,5,62
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Jaylen Brown,SF,20,BOS,78,20,1341,192,423,.454,46,135,.341,146,288,.507,.508,85,124,.685,45,175,220,64,35,18,68,142,515
62,Nicolas Brussino,SF,23,DAL,54,2,521,52,141,.369,29,95,.305,23,46,.500,.472,17,22,.773,26,69,95,47,17,8,26,43,150
63,Reggie Bullock,SF,25,DET,31,5,467,54,128,.422,28,73,.384,26,55,.473,.531,5,7,.714,13,51,64,29,18,3,10,22,141
64,Trey Burke,PG,24,WAS,57,0,703,116,255,.455,31,70,.443,85,185,.459,.516,22,29,.759,7,40,47,100,11,5,48,54,285
65,Alec Burks,SG,25,UTA,42,0,653,99,248,.399,25,76,.329,74,172,.430,.450,60,78,.769,17,103,120,30,18,5,35,50,283
66,Jimmy Butler,SF,27,CHI,76,75,2809,570,1252,.455,91,248,.367,479,1004,.477,.492,585,676,.865,129,341,470,417,143,32,159,112,1816
67,Bruno Caboclo,SF,21,TOR,9,0,40,6,16,.375,2,6,.333,4,10,.400,.438,0,0,,5,5,10,4,2,1,2,4,14
68,Jose Calderon,PG,35,TOT,41,13,539,55,134,.410,20,64,.313,35,70,.500,.485,11,12,.917,15,59,74,88,11,1,41,36,141
68,Jose Calderon,PG,35,LAL,24,11,292,32,77,.416,12,34,.353,20,43,.465,.494,4,4,1.000,8,34,42,51,7,1,26,22,80
68,Jose Calderon,PG,35,ATL,17,2,247,23,57,.404,8,30,.267,15,27,.556,.474,7,8,.875,7,25,32,37,4,0,15,14,61
69,Kentavious Caldwell-Pope,SG,23,DET,76,75,2529,370,928,.399,153,437,.350,217,491,.442,.481,154,185,.832,55,193,248,193,89,12,86,118,1047
70,Isaiah Canaan,SG,25,CHI,39,0,592,63,173,.364,25,94,.266,38,79,.481,.436,30,33,.909,6,44,50,37,22,1,21,35,181
71,Clint Capela,C,22,HOU,65,59,1551,362,563,.643,0,0,,362,563,.643,.643,94,177,.531,178,348,526,63,34,79,87,179,818
72,DeMarre Carroll,SF,30,TOR,72,72,1882,220,550,.400,109,320,.341,111,230,.483,.499,89,117,.761,63,212,275,74,81,27,54,143,638
73,Vince Carter,SF,40,MEM,73,15,1799,193,490,.394,112,296,.378,81,194,.418,.508,88,115,.765,36,191,227,133,60,36,50,163,586
74,Michael Carter-Williams,PG,25,CHI,45,19,846,112,306,.366,15,64,.234,97,242,.401,.391,58,77,.753,24,129,153,113,38,23,66,102,297
75,Omri Casspi,SF,28,TOT,36,2,643,77,164,.470,15,43,.349,62,121,.512,.515,17,29,.586,27,85,112,37,23,3,29,50,186
75,Omri Casspi,SF,28,SAC,22,2,397,53,117,.453,11,29,.379,42,88,.477,.500,12,21,.571,20,70,90,26,10,1,17,23,129
75,Omri Casspi,SF,28,NOP,1,0,24,5,9,.556,2,4,.500,3,5,.600,.667,0,0,,1,1,2,0,0,0,2,3,12
75,Omri Casspi,SF,28,MIN,13,0,222,19,38,.500,2,10,.200,17,28,.607,.526,5,8,.625,6,14,20,11,13,2,10,24,45
76,Willie Cauley-Stein,C,23,SAC,75,21,1421,255,481,.530,0,2,.000,255,479,.532,.530,101,151,.669,85,254,339,80,53,44,69,147,611
77,Tyson Chandler,C,34,PHO,47,46,1298,153,228,.671,0,0,,153,228,.671,.671,91,124,.734,153,386,539,30,33,24,65,126,397
78,Wilson Chandler,SF,29,DEN,71,33,2197,433,939,.461,110,326,.337,323,613,.527,.520,141,194,.727,103,357,460,141,51,30,114,172,1117
79,Marquese Chriss,PF,19,PHO,82,75,1743,284,632,.449,72,224,.321,212,408,.520,.506,113,181,.624,96,252,348,60,67,70,108,263,753
80,Rakeem Christmas,PF,25,IND,29,0,219,19,43,.442,0,0,,19,43,.442,.442,21,29,.724,26,30,56,4,3,6,8,37,59
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Semaj Christon,PG,24,OKC,64,1,973,77,223,.345,12,63,.190,65,160,.406,.372,17,31,.548,19,68,87,130,28,7,43,79,183
82,Ian Clark,SG,25,GSW,77,0,1137,211,433,.487,61,163,.374,150,270,.556,.558,44,58,.759,22,99,121,90,39,8,55,77,527
83,Jordan Clarkson,SG,24,LAL,82,19,2397,477,1071,.445,117,356,.329,360,715,.503,.500,134,168,.798,49,197,246,213,88,8,164,150,1205
84,Norris Cole,PG,28,OKC,13,0,125,16,52,.308,3,13,.231,13,39,.333,.337,8,10,.800,0,11,11,14,8,0,7,18,43
85,Darren Collison,PG,29,SAC,68,64,2063,340,714,.476,73,175,.417,267,539,.495,.527,147,171,.860,23,129,152,312,67,9,114,119,900
86,Nick Collison,PF,36,OKC,20,0,128,14,23,.609,0,1,.000,14,22,.636,.609,5,8,.625,9,22,31,12,2,2,4,17,33
87,Mike Conley,PG,29,MEM,69,68,2292,464,1009,.460,171,419,.408,293,590,.497,.545,316,368,.859,31,210,241,433,92,19,156,126,1415
88,Pat Connaughton,SG,24,POR,39,1,316,37,72,.514,17,33,.515,20,39,.513,.632,7,9,.778,10,42,52,28,6,2,17,23,98
89,Quinn Cook,PG,23,TOT,14,0,188,33,66,.500,11,26,.423,22,40,.550,.583,2,5,.400,1,6,7,26,4,0,13,13,79
89,Quinn Cook,PG,23,DAL,5,0,77,11,25,.440,5,14,.357,6,11,.545,.540,0,2,.000,0,3,3,12,1,0,8,6,27
89,Quinn Cook,PG,23,NOP,9,0,111,22,41,.537,6,12,.500,16,29,.552,.610,2,3,.667,1,3,4,14,3,0,5,7,52
90,DeMarcus Cousins,C,26,TOT,72,72,2465,647,1432,.452,131,363,.361,516,1069,.483,.498,517,670,.772,152,642,794,332,100,93,269,278,1942
90,DeMarcus Cousins,C,26,SAC,55,55,1891,505,1118,.452,95,267,.356,410,851,.482,.494,423,549,.770,115,468,583,266,75,74,207,203,1528
90,DeMarcus Cousins,C,26,NOP,17,17,574,142,314,.452,36,96,.375,106,218,.486,.510,94,121,.777,37,174,211,66,25,19,62,75,414
91,Robert Covington,SF,26,PHI,67,67,2119,292,732,.399,137,412,.333,155,320,.484,.492,143,174,.822,92,344,436,102,127,69,131,203,864
92,Allen Crabbe,SG,24,POR,79,7,2254,303,647,.468,134,302,.444,169,345,.490,.572,105,124,.847,19,207,226,94,54,20,62,171,845
93,Jamal Crawford,SG,36,LAC,82,1,2157,359,870,.413,116,322,.360,243,548,.443,.479,174,203,.857,17,112,129,214,61,14,134,115,1008
94,Jordan Crawford,SG,28,NOP,19,0,442,105,218,.482,37,95,.389,68,123,.553,.567,20,26,.769,4,30,34,57,11,2,25,30,267
95,Jae Crowder,SF,26,BOS,72,72,2335,333,720,.463,157,394,.398,176,326,.540,.572,176,217,.811,48,367,415,155,73,23,80,161,999
96,Dante Cunningham,SF,29,NOP,66,35,1649,174,359,.485,71,181,.392,103,178,.579,.584,16,27,.593,56,221,277,37,39,28,28,100,435
97,Seth Curry,PG,26,DAL,70,42,2029,338,703,.481,137,322,.425,201,381,.528,.578,85,100,.850,25,154,179,189,79,7,92,126,898
98,Stephen Curry,PG,28,GSW,79,79,2638,675,1443,.468,324,789,.411,351,654,.537,.580,325,362,.898,61,292,353,524,142,17,239,183,1999
99,Troy Daniels,SG,25,MEM,67,3,1183,185,495,.374,138,355,.389,47,140,.336,.513,43,54,.796,22,78,100,46,20,4,45,90,551
100,Anthony Davis,C,23,NOP,75,75,2708,770,1526,.505,40,134,.299,730,1392,.524,.518,519,647,.802,172,712,884,157,94,167,181,168,2099
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,Deyonta Davis,C,20,MEM,36,0,238,24,47,.511,0,0,,24,47,.511,.511,10,18,.556,20,40,60,2,3,17,8,40,58
102,Ed Davis,PF,27,POR,46,12,789,75,142,.528,0,0,,75,142,.528,.528,50,81,.617,96,148,244,26,15,22,37,137,200
103,Dewayne Dedmon,C,27,SAS,76,37,1330,161,259,.622,0,0,,161,259,.622,.622,65,93,.699,129,367,496,44,37,61,61,180,387
104,Sam Dekker,SF,22,HOU,77,2,1419,203,429,.473,60,187,.321,143,242,.591,.543,38,68,.559,94,190,284,76,38,21,41,83,504
105,Malcolm Delaney,PG,27,ATL,73,2,1248,145,388,.374,26,110,.236,119,278,.428,.407,75,93,.806,10,113,123,193,39,1,95,112,391
106,Matthew Dellavedova,PG,26,MIL,76,54,1986,208,534,.390,79,215,.367,129,319,.404,.463,82,96,.854,24,123,147,357,53,0,133,153,577
107,Luol Deng,SF,31,LAL,56,49,1486,164,424,.387,51,165,.309,113,259,.436,.447,46,63,.730,63,232,295,74,48,20,43,61,425
108,DeMar DeRozan,SG,27,TOR,74,74,2620,721,1545,.467,33,124,.266,688,1421,.484,.477,545,647,.842,70,316,386,290,78,13,180,134,2020
109,Cheick Diallo,PF,20,NOP,17,0,199,36,76,.474,0,0,,36,76,.474,.474,15,21,.714,23,50,73,4,4,7,7,17,87
110,Boris Diaw,PF,34,UTA,73,33,1283,146,327,.446,20,81,.247,126,246,.512,.477,26,35,.743,46,112,158,170,18,9,87,83,338
111,Gorgui Dieng,PF,27,MIN,82,82,2653,332,661,.502,16,43,.372,316,618,.511,.514,136,167,.814,188,459,647,158,88,95,107,254,816
112,Spencer Dinwiddie,PG,23,BRK,59,18,1334,134,302,.444,38,101,.376,96,201,.478,.507,126,159,.792,27,137,164,185,44,23,66,119,432
113,Toney Douglas,PG,30,MEM,24,0,394,43,117,.368,7,42,.167,36,75,.480,.397,24,29,.828,13,48,61,56,18,5,21,50,117
114,Goran Dragic,PG,30,MIA,73,73,2459,534,1124,.475,117,289,.405,417,835,.499,.527,298,377,.790,62,217,279,423,89,13,212,199,1483
115,Andre Drummond,C,23,DET,81,81,2409,483,911,.530,2,7,.286,481,904,.532,.531,137,355,.386,345,770,1115,90,124,89,152,237,1105
116,Jared Dudley,PF,31,PHO,64,7,1362,157,346,.454,77,203,.379,80,143,.559,.565,43,65,.662,31,194,225,121,42,16,73,154,434
117,Mike Dunleavy,SF,36,TOT,53,2,841,93,220,.423,53,134,.396,40,86,.465,.543,36,45,.800,18,97,115,50,15,7,28,67,275
117,Mike Dunleavy,SF,36,CLE,23,2,366,36,90,.400,20,57,.351,16,33,.485,.511,14,19,.737,5,42,47,20,6,2,14,32,106
117,Mike Dunleavy,SF,36,ATL,30,0,475,57,130,.438,33,77,.429,24,53,.453,.565,22,26,.846,13,55,68,30,9,5,14,35,169
118,Kris Dunn,PG,22,MIN,78,7,1333,118,313,.377,21,73,.288,97,240,.404,.411,36,59,.610,24,142,166,188,78,36,89,178,293
119,Kevin Durant,SF,28,GSW,62,62,2070,551,1026,.537,117,312,.375,434,714,.608,.594,336,384,.875,39,474,513,300,66,99,138,117,1555
120,Jarell Eddie,SF,25,PHO,5,0,62,6,19,.316,4,16,.250,2,3,.667,.421,8,9,.889,1,6,7,0,1,0,1,1,24
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
121,Henry Ellenson,PF,20,DET,19,2,146,23,64,.359,10,35,.286,13,29,.448,.438,4,8,.500,8,33,41,7,1,1,14,6,60
122,Wayne Ellington,SG,29,MIA,62,13,1500,231,555,.416,149,394,.378,82,161,.509,.550,37,43,.860,18,114,132,70,35,4,30,70,648
123,Monta Ellis,SG,31,IND,74,33,1998,247,557,.443,43,135,.319,204,422,.483,.482,93,128,.727,19,185,204,236,78,27,135,149,630
124,Joel Embiid,C,22,PHI,31,31,786,200,429,.466,36,98,.367,164,331,.495,.508,191,244,.783,61,182,243,66,27,76,117,112,627
125,James Ennis,SF,26,MEM,64,28,1501,146,321,.455,51,137,.372,95,184,.516,.534,86,110,.782,69,190,259,64,46,19,59,165,429
126,Tyler Ennis,PG,22,TOT,53,2,588,90,208,.433,27,70,.386,63,138,.457,.498,21,25,.840,9,36,45,86,25,2,45,58,228
126,Tyler Ennis,PG,22,HOU,31,0,196,25,64,.391,6,16,.375,19,48,.396,.438,2,3,.667,4,15,19,34,6,0,24,29,58
126,Tyler Ennis,PG,22,LAL,22,2,392,65,144,.451,21,54,.389,44,90,.489,.524,19,22,.864,5,21,26,52,19,2,21,29,170
127,Tyreke Evans,SF,27,TOT,40,6,788,150,370,.405,42,118,.356,108,252,.429,.462,69,92,.750,13,124,137,124,35,9,61,60,411
127,Tyreke Evans,SF,27,NOP,26,0,474,91,227,.401,21,70,.300,70,157,.446,.447,45,58,.776,6,80,86,91,23,4,39,41,248
127,Tyreke Evans,SF,27,SAC,14,6,314,59,143,.413,21,48,.438,38,95,.400,.486,24,34,.706,7,44,51,33,12,5,22,19,163
128,Dante Exum,PG,21,UTA,66,26,1228,155,363,.427,44,149,.295,111,214,.519,.488,58,73,.795,30,102,132,111,21,12,80,146,412
129,Kenneth Faried,PF,27,DEN,61,34,1296,228,416,.548,0,6,.000,228,410,.556,.548,131,189,.693,183,279,462,55,43,40,59,124,587
130,Jordan Farmar,PG,30,SAC,2,0,35,4,12,.333,4,9,.444,0,3,.000,.500,0,0,,1,2,3,9,2,0,3,1,12
131,Derrick Favors,PF,25,UTA,50,39,1186,203,417,.487,3,10,.300,200,407,.491,.490,67,109,.615,92,213,305,56,45,40,60,103,476
132,Kay Felder,PG,21,CLE,42,0,386,62,158,.392,7,22,.318,55,136,.404,.415,35,49,.714,3,38,41,58,18,7,30,38,166
133,Cristiano Felicio,C,24,CHI,66,0,1040,128,221,.579,0,0,,128,221,.579,.579,60,93,.645,124,187,311,40,25,17,33,110,316
134,Raymond Felton,PG,32,LAC,80,11,1700,221,514,.430,46,144,.319,175,370,.473,.475,50,64,.781,33,185,218,191,66,22,83,125,538
135,Yogi Ferrell,PG,23,TOT,46,29,1197,160,394,.406,68,176,.386,92,218,.422,.492,74,89,.831,20,91,111,172,42,9,70,90,462
135,Yogi Ferrell,PG,23,BRK,10,0,151,18,49,.367,8,27,.296,10,22,.455,.449,10,16,.625,4,8,12,17,2,2,14,11,54
135,Yogi Ferrell,PG,23,DAL,36,29,1046,142,345,.412,60,149,.403,82,196,.418,.499,64,73,.877,16,83,99,155,40,7,56,79,408
136,Dorian Finney-Smith,PF,23,DAL,81,35,1642,124,333,.372,56,191,.293,68,142,.479,.456,46,61,.754,55,167,222,67,52,25,45,125,350
137,Bryn Forbes,SG,23,SAS,36,0,285,36,99,.364,17,53,.321,19,46,.413,.449,5,6,.833,2,21,23,23,1,0,11,20,94
138,Evan Fournier,SG,24,ORL,68,66,2234,408,930,.439,128,360,.356,280,570,.491,.508,223,277,.805,44,165,209,202,66,4,141,180,1167
139,Randy Foye,SG,33,BRK,69,40,1284,118,325,.363,67,203,.330,51,122,.418,.466,54,63,.857,9,146,155,135,35,9,80,99,357
140,Tim Frazier,PG,26,NOP,65,35,1525,163,404,.403,40,128,.313,123,276,.446,.453,98,129,.760,34,139,173,335,56,6,101,133,464
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
141,Channing Frye,C,33,CLE,74,15,1398,238,520,.458,137,335,.409,101,185,.546,.589,63,74,.851,37,253,290,45,33,37,53,138,676
142,Danilo Gallinari,SF,28,DEN,63,63,2134,335,750,.447,126,324,.389,209,426,.491,.531,349,387,.902,39,286,325,135,40,15,82,93,1145
143,Langston Galloway,PG,25,TOT,74,2,1495,207,545,.380,120,308,.390,87,237,.367,.490,51,64,.797,27,129,156,93,46,6,46,96,585
