Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
428,Tristan Thompson,C,25,CLE,78,78,2336,262,437,.600,0,3,.000,262,434,.604,.600,106,213,.498,286,429,715,77,39,84,64,176,630
429,Marcus Thornton,SG,29,WAS,33,1,575,84,210,.400,28,80,.350,56,130,.431,.467,23,27,.852,22,54,76,41,19,3,25,48,219
430,Mike Tobey,C,22,CHO,2,0,25,1,4,.250,0,0,,1,4,.250,.250,0,0,,2,1,3,1,0,0,1,2,2
431,Anthony Tolliver,PF,31,SAC,65,9,1477,155,351,.442,90,230,.391,65,121,.537,.570,61,82,.744,51,186,237,77,34,20,56,109,461
432,Axel Toupane,SF,24,TOT,4,0,47,5,9,.556,1,4,.250,4,5,.800,.611,0,0,,0,1,1,0,1,1,0,6,11
432,Axel Toupane,SF,24,MIL,2,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0
432,Axel Toupane,SF,24,NOP,2,0,41,5,8,.625,1,3,.333,4,5,.800,.688,0,0,,0,1,1,0,1,1,0,5,11
433,Karl-Anthony Towns,C,21,MIN,82,82,3030,802,1480,.542,101,275,.367,701,1205,.582,.576,356,428,.832,296,711,1007,220,56,103,212,241,2061
434,P.J. Tucker,SF,31,TOT,81,21,2236,199,482,.413,70,196,.357,129,286,.451,.485,72,93,.774,117,354,471,99,116,19,66,196,540
434,P.J. Tucker,SF,31,PHO,57,17,1627,147,354,.415,46,136,.338,101,218,.463,.480,61,77,.792,94,248,342,73,85,14,52,143,401
434,P.J. Tucker,SF,31,TOR,24,4,609,52,128,.406,24,60,.400,28,68,.412,.500,11,16,.688,23,106,129,26,31,5,14,53,139
435,Evan Turner,SF,28,POR,65,12,1658,235,552,.426,31,118,.263,204,434,.470,.454,85,103,.825,36,211,247,205,53,24,100,121,586
436,Myles Turner,C,20,IND,81,81,2541,444,869,.511,40,115,.348,404,754,.536,.534,245,303,.809,139,450,589,106,74,172,105,262,1173
437,Beno Udrih,PG,34,DET,39,0,560,92,197,.467,11,32,.344,81,165,.491,.495,32,34,.941,6,51,57,131,13,0,36,29,227
438,Tyler Ulis,PG,21,PHO,61,15,1123,184,437,.421,21,79,.266,163,358,.455,.445,55,71,.775,20,75,95,226,48,5,77,73,444
439,Jarrod Uthoff,PF,23,DAL,9,0,115,16,38,.421,3,9,.333,13,29,.448,.461,5,7,.714,8,14,22,9,2,4,3,8,40
440,Jonas Valanciunas,C,24,TOR,80,80,2066,391,702,.557,1,2,.500,390,700,.557,.558,176,217,.811,226,533,759,57,37,63,106,216,959
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
441,Denzel Valentine,SG,23,CHI,57,0,976,102,288,.354,73,208,.351,29,80,.363,.481,14,18,.778,11,140,151,63,30,7,49,86,291
442,Fred VanVleet,PG,22,TOR,37,0,294,39,111,.351,11,29,.379,28,82,.341,.401,18,22,.818,4,38,42,35,16,3,15,36,107
443,Anderson Varejao,C,34,GSW,14,1,92,5,14,.357,0,0,,5,14,.357,.357,8,11,.727,12,15,27,10,3,3,8,16,18
